u_niqe,u_brisque,a_rx_skull.penetration_index,a_rx_skull.sinus_air_score,img_mean,img_std,img_entropy,a_rx_chest.lung_symmetry,a_rx_chest.inspiration_index,a_rx_chest.mediastinum_width,a_rx_chest.rotation_angle,a_rx_abdomen.nps_fat,a_rx_abdomen.free_air_detector,score,deg_type,severity
7.362065813315116,29.4837646484375,0.47756575893769965,0.0,0.06997773051261902,0.10462094843387604,3.206291924341173,0.0,0.0,0.0,0.0,0.0,0.0,16.48837315518597,brightness_dark,0.8607797022344981
4.552478381689781,0.92791748046875,0.7801266276721447,0.85046919624643,0.24298515915870667,0.23403652012348175,5.816163210333334,0.0,0.0,0.0,0.0,0.0,0.0,72.70204012916668,original,0.0
9.178434090181401,78.59619140625,0.7760438227137268,0.9137086903304774,0.3399941623210907,0.3039209246635437,6.136518423945185,0.0,0.0,0.0,0.0,0.0,0.0,11.599102988529921,blur_gaussian,0.6802834102565185
6.42817951914901,44.3958740234375,0.774119286817081,0.8938188494492044,0.29181569814682007,0.26848167181015015,6.037388181064844,0.0,0.0,0.0,0.0,0.0,0.0,29.87705511127694,blur_motion,0.6817103690265748
7.078198047215995,24.98797607421875,0.7768636041895377,0.0,0.12296879291534424,0.15829189121723175,3.263432742284187,0.0,0.0,0.0,0.0,0.0,0.0,22.77690103489564,brightness_dark,0.7508777995916097
4.719601107466971,7.09088134765625,0.0,0.0,0.24924354255199432,0.2233372926712036,5.477308621868569,0.9646930035201188,0.4018470903080233,0.11188811188811189,0.0,0.0,0.0,68.53599261688686,original,0.0
5.186108556249494,16.86492919921875,0.0,0.0,0.24750205874443054,0.23894812166690826,5.423741400958595,0.9967835935516829,0.4007844886393451,0.351981351981352,0.0,0.0,0.0,42.158295568790116,ring_artifact,0.6409617985798081
6.849671547096176,39.59515380859375,0.0,0.0,0.29396936297416687,0.260133296251297,5.443810991453072,0.9620588345596587,0.4014535341344388,0.11421911421911422,0.0,0.0,0.0,42.59551787346178,blur_motion,0.29350012864742614
12.036124723410612,54.9833984375,0.0,0.0,0.25558391213417053,0.21979142725467682,6.339669698054432,0.9967610480043019,0.40811775200713646,0.11421911421911422,0.0,0.0,0.0,13.12180369995674,noise_gaussian,0.45372370632920644
3.902631712890767,5.0821533203125,0.0,0.3632786255878684,0.2625352740287781,0.25204306840896606,5.615919543232598,0.0,0.0,0.0,0.0,0.0,0.0,73.98245524739488,original,0.0
