u_niqe,u_brisque,a_rx_chest.lung_symmetry,a_rx_chest.inspiration_index,a_rx_chest.mediastinum_width,a_rx_chest.rotation_angle,img_mean,img_std,img_entropy,adv_clavicle_symmetry,adv_rib_count_visibility,a_rx_skull.penetration_index,a_rx_skull.sinus_air_score,a_rx_abdomen.nps_fat,a_rx_abdomen.free_air_detector,score,deg_type,severity
4.744967761695527,9.95648193359375,0.9239314343769903,0.4100576073232323,0.224609375,0.0,0.48607397079467773,0.210618257522583,7.399093883609748,0.46006595623255664,6,0.0,0.0,0.0,0.0,60.21249096154112,vignetting,0.6835476655366672
4.803309247803809,7.9249267578125,0.0,0.0,0.0,0.0,0.5222180485725403,0.2595333755016327,7.512723579246635,0.6528502908935072,5,0.0,0.0,0.0,0.0,90.09384155273438,original,0.0
8.861639837271298,59.681640625,0.0,0.0,0.0,0.0,0.5696321129798889,0.2793229818344116,7.493093593462016,0.7043386813421421,7,0.0,0.0,0.0,0.0,16.557160858178488,blur_motion,0.6091310056669882
13.558619955734809,58.56201171875,0.0,0.0,0.0,0.0,0.5226641893386841,0.26214084029197693,7.675439003205516,0.5560401672443117,13,0.0,0.0,0.0,0.0,5.431890270374179,noise_gaussian,0.534139877029708
4.711652771221583,10.322021484375,0.9619857652272861,0.4004770091693635,0.20703125,0.0,0.5607019662857056,0.20956715941429138,7.523199362064966,0.538166177897042,6,0.0,0.0,0.0,0.0,87.09747314453125,original,0.0
9.040852853481004,36.36138916015625,0.9618195769912212,0.40074669633225457,0.185546875,0.0,0.5604158043861389,0.21255308389663696,7.526164822222741,0.5003985305872097,10,0.0,0.0,0.0,0.0,48.01216379932755,noise_salt_pepper,0.1634024937619284
4.714576145538606,10.08880615234375,0.9668444277761239,0.4004770091693635,0.20703125,0.0,0.56097012758255,0.21037033200263977,7.143312341271422,0.5381344418095378,6,0.0,0.0,0.0,0.0,76.5910792381992,contrast_low,0.269947826784278
4.902463745003477,12.49072265625,0.0,0.0,0.0,0.0,0.4870019853115082,0.23634760081768036,7.511328323205971,0.6622262454448283,4,0.7324678063697604,0.0,0.0,0.0,84.3865966796875,original,0.0
4.989538551025499,12.2244873046875,0.0,0.0,0.0,0.0,0.45431655645370483,0.23039302229881287,7.408260001095329,0.6546719716031683,4,0.6474578385242881,0.0,0.0,0.0,59.11940047497691,vignetting,0.6399997598540929
4.7717271476339285,8.626220703125,0.0,0.0,0.0,0.0,0.4416695535182953,0.254324734210968,7.052542416843634,0.6613799650867024,5,0.6897087115338357,0.5505967648165246,0.0,0.0,79.37217325173467,brightness_dark,0.21961517397026897
5.1206699188365725,20.01678466796875,0.0,0.0,0.0,0.0,0.5868473052978516,0.17847059667110443,7.3442865162700475,0.8936428486864355,8,0.0,0.0,0.0,0.0,74.97901916503906,original,0.0
6.439604989282307,48.947998046875,0.0,0.0,0.0,0.0,0.586877167224884,0.17833273112773895,7.30107756077077,0.8946823226837866,11,0.0,0.0,0.0,0.0,23.355223263858903,jpeg,0.8428519201898096
5.1119207199469185,20.05792236328125,0.0,0.0,0.0,0.0,0.5849658846855164,0.17822477221488953,7.35438074160781,0.8931304666753973,8,0.0,0.0,0.0,0.0,72.69007914392708,ring_artifact,0.05593794754928394
5.1830383281700385,2.0146484375,0.9642018933751547,0.40461601307189543,0.181640625,0.0,0.43001148104667664,0.1995711475610733,7.455953149270713,0.8270980612167913,6,0.0,0.0,0.0,0.0,93.19941436588391,original,0.0
5.129182305093142,2.53070068359375,0.964525678555564,0.4011778322440087,0.189453125,0.0,0.4280974566936493,0.1993349939584732,7.447865360725827,0.8267940135369977,6,0.0,0.0,0.0,0.0,91.81430725291133,stripe_artifact,0.03210024390403776
5.345446529555177,24.6053466796875,0.9619426115279635,0.40510961328976036,0.181640625,0.0,0.4300176501274109,0.19940969347953796,7.46664121485941,0.8315453158272108,6,0.0,0.0,0.0,0.0,53.19672516949747,jpeg,0.40116478702232894
4.988897107753026,12.3648681640625,0.0,0.0,0.0,0.0,0.5362037420272827,0.22982072830200195,7.677292769636926,0.6332991517604393,7,0.0,0.0,0.0,0.0,84.54391479492188,original,0.0
7.479000553287632,49.18408203125,0.0,0.0,0.0,0.0,0.5457082390785217,0.23722568154335022,7.659303123540543,0.665772117073275,7,0.0,0.0,0.0,0.0,41.70068256796273,blur_motion,0.21098284358632646
4.990951066877782,17.2686767578125,0.0,0.0,0.0,0.0,0.7574758529663086,0.28074151277542114,5.400563708818605,0.7268813064437377,9,0.0,0.0,0.0,0.0,32.45234130132581,brightness_bright,0.8763676264726689
